Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330046003,530330046003,"Block Group 3, Census Tract 46, King County, Washington",98571,46396
1500000US530330047001,530330047001,"Block Group 1, Census Tract 47, King County, Washington",81207,29550
1500000US530330047002,530330047002,"Block Group 2, Census Tract 47, King County, Washington",61429,13332
1500000US530330047003,530330047003,"Block Group 3, Census Tract 47, King County, Washington",81356,4976
1500000US530330047004,530330047004,"Block Group 4, Census Tract 47, King County, Washington",58269,18130
1500000US530330048001,530330048001,"Block Group 1, Census Tract 48, King County, Washington",104271,22827
1500000US530330048002,530330048002,"Block Group 2, Census Tract 48, King County, Washington",103434,3793
1500000US530330048003,530330048003,"Block Group 3, Census Tract 48, King County, Washington",70114,23900
1500000US530330048004,530330048004,"Block Group 4, Census Tract 48, King County, Washington",115134,24584
1500000US530330049001,530330049001,"Block Group 1, Census Tract 49, King County, Washington",73177,24161
1500000US530330049002,530330049002,"Block Group 2, Census Tract 49, King County, Washington",74561,7880
1500000US530330049003,530330049003,"Block Group 3, Census Tract 49, King County, Washington",74228,55916
1500000US530330049004,530330049004,"Block Group 4, Census Tract 49, King County, Washington",71393,7987
1500000US530330049005,530330049005,"Block Group 5, Census Tract 49, King County, Washington",54714,20407
1500000US530330050001,530330050001,"Block Group 1, Census Tract 50, King County, Washington",64947,23403
1500000US530330050002,530330050002,"Block Group 2, Census Tract 50, King County, Washington",86932,25211
1500000US530330050003,530330050003,"Block Group 3, Census Tract 50, King County, Washington",58875,11242
1500000US530330051001,530330051001,"Block Group 1, Census Tract 51, King County, Washington",75179,11522
1500000US530330051002,530330051002,"Block Group 2, Census Tract 51, King County, Washington",136641,21992
1500000US530330051003,530330051003,"Block Group 3, Census Tract 51, King County, Washington",104167,25558
1500000US530330052003,530330052003,"Block Group 3, Census Tract 52, King County, Washington",47024,42311
1500000US530330052004,530330052004,"Block Group 4, Census Tract 52, King County, Washington",117760,45617
1500000US530330052005,530330052005,"Block Group 5, Census Tract 52, King County, Washington",22083,20528
1500000US530330053011,530330053011,"Block Group 1, Census Tract 53.01, King County, Washington",17167,13417
1500000US530330053012,530330053012,"Block Group 2, Census Tract 53.01, King County, Washington",13608,4162
1500000US530330053013,530330053013,"Block Group 3, Census Tract 53.01, King County, Washington",11733,10343
1500000US530330053021,530330053021,"Block Group 1, Census Tract 53.02, King County, Washington",7115,6908
1500000US530330053022,530330053022,"Block Group 2, Census Tract 53.02, King County, Washington",-,**
1500000US530330053023,530330053023,"Block Group 3, Census Tract 53.02, King County, Washington",-,**
1500000US530330054001,530330054001,"Block Group 1, Census Tract 54, King County, Washington",108056,16277
1500000US530330054002,530330054002,"Block Group 2, Census Tract 54, King County, Washington",97286,23064
1500000US530330054003,530330054003,"Block Group 3, Census Tract 54, King County, Washington",62869,12785
1500000US530330054004,530330054004,"Block Group 4, Census Tract 54, King County, Washington",61583,9726
1500000US530330056001,530330056001,"Block Group 1, Census Tract 56, King County, Washington",141141,23537
1500000US530330056002,530330056002,"Block Group 2, Census Tract 56, King County, Washington",155744,30979
1500000US530330056003,530330056003,"Block Group 3, Census Tract 56, King County, Washington",214338,69326
1500000US530330056004,530330056004,"Block Group 4, Census Tract 56, King County, Washington",183300,21589
1500000US530330056005,530330056005,"Block Group 5, Census Tract 56, King County, Washington",124440,32065
1500000US530330057002,530330057002,"Block Group 2, Census Tract 57, King County, Washington",140313,82622
1500000US530330057003,530330057003,"Block Group 3, Census Tract 57, King County, Washington",91724,15960
1500000US530330057004,530330057004,"Block Group 4, Census Tract 57, King County, Washington",105000,48045
