SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
255155,16755.54435268534,1,105,105,Under 60,105,105,105
255504,47858.023557357505,3,84,84,Under 60,84,0,0
256697,523610.7610214169,4,133,0,Over 60,0,0,0
256854,25007.649946382873,4,70,70,Under 60,70,70,70
257493,374905.3048913345,2,120,0,Over 60,0,0,0
257604,186405.43092362443,3,114,0,Over 60,0,0,0
259194,167555.44352685343,2,109,0,Over 60,0,0,0
259615,163366.5574386821,3,143,0,Over 60,0,0,0
260441,127761.02568922573,2,77,0,Over 60,0,0,0
260564,45449.41405665899,1,72,72,Over 60,0,0,0
260823,21363.31904967381,1,169,169,Under 60,169,169,169
262394,272277.5957311368,3,114,0,Over 60,0,0,0
262953,26180.538051070846,1,257,257,Under 60,257,257,257
263627,36652.75327149918,1,124,124,Under 60,124,0,0
263998,120325.75288272162,2,68,0,Over 60,0,0,0
265225,858.7216480751238,1,216,216,Under 60,216,216,216
266676,245468.72476684026,3,202,0,Over 60,0,0,0
267016,86238.69234022737,2,66,0,Over 60,0,0,0
268161,125666.58264514006,1,112,0,Over 60,0,0,0
268200,230388.73484942346,2,48,0,Over 60,0,0,0
268752,192772.53777764487,7,153,0,Over 60,0,0,0
269051,146925.17954260958,2,105,0,Over 60,0,0,0
270003,22515.26272392093,1,73,73,Under 60,73,73,73
270616,94249.93698385505,1,133,0,Over 60,0,0,0
271247,104722.15220428338,3,133,0,Over 60,0,0,0
271295,47124.968491927524,1,200,200,Over 60,0,0,0
271700,536177.4192859309,4,124,0,Over 60,0,0,0
272610,141374.90547578258,1,149,0,Over 60,0,0,0
272844,7330.550654299837,1,89,89,Under 60,89,89,89
272923,61786.0698005272,1,92,0,Over 60,0,0,0
273052,18849.98739677101,1,133,133,Under 60,133,133,133
274642,186510.1530758287,2,124,0,Over 60,0,0,0
275417,12671.38041671829,1,50,50,Under 60,50,50,50
276357,133122.79988208506,2,168,0,Over 60,0,0,0
277356,11519.436742471173,1,66,66,Under 60,66,66,66
277869,403180.285986491,2,112,0,Over 60,0,0,0
278323,15079.989917416808,1,173,173,Under 60,173,173,173
279036,345583.10227413516,4,111,0,Over 60,0,0,0
279597,138233.24090965407,2,130,0,Over 60,0,0,0
280714,269659.5419260297,3,114,0,Over 60,0,0,0
280823,224105.40571716643,3,69,0,Over 60,0,0,0
281367,8587.216480751238,1,119,119,Under 60,119,119,119
282625,1989.7208918813844,1,69,69,Under 60,69,69,69
284033,282854.5331037694,3,146,0,Over 60,0,0,0
286175,54036.63053741023,2,72,72,Over 60,0,0,0
286289,27541.926029726532,1,129,129,Under 60,129,129,129
287516,81683.27871934105,2,117,0,Over 60,0,0,0
287610,126190.19340616147,2,69,0,Over 60,0,0,0
288634,286938.6970397365,3,66,0,Over 60,0,0,0
290762,159072.94919830645,4,54,0,Over 60,0,0,0
290768,48905.24507940034,1,128,128,Over 60,0,0,0
291140,84615.49898106097,1,141,0,Over 60,0,0,0
292124,92364.93824417795,2,217,0,Over 60,0,0,0
292970,171147.41334746033,4,148,0,Over 60,0,0,0
294437,153941.56374029658,2,65,0,Over 60,0,0,0
295533,180122.10179136743,4,125,0,Over 60,0,0,0
296236,41260.52796848765,7,198,198,Under 60,198,198,198
297620,28589.147551769365,2,107,107,Under 60,107,107,107
297646,59712.571186882386,1,85,0,Over 60,0,0,0
298167,27646.648181930814,2,182,182,Under 60,182,182,182
298190,365480.311192949,2,198,0,Over 60,0,0,0
298970,249657.6108550116,2,141,0,Over 60,0,0,0
300373,131949.91177739706,4,145,0,Over 60,0,0,0
300616,41888.86088171336,2,60,60,Under 60,60,0,0
300659,116241.58894675456,3,383,0,Over 60,0,0,0
301398,546649.6345063592,2,189,0,Over 60,0,0,0
302028,131949.91177739706,5,68,0,Over 60,0,0,0
302368,94878.26989708075,6,467,0,Over 60,0,0,0
302416,198972.08918813843,1,210,0,Over 60,0,0,0
303118,143532.18181119082,3,111,0,Over 60,0,0,0
303147,78541.61415321253,1,90,0,Over 60,0,0,0
303426,50266.633058056024,1,142,142,Over 60,0,0,0
304635,18849.98739677101,1,77,77,Under 60,77,77,77
305468,128389.35860245144,1,127,0,Over 60,0,0,0
306291,6283.329132257003,5,307,307,Under 60,307,307,307
306597,25761.649442253714,2,127,127,Under 60,127,127,127
306892,57597.183712355865,1,171,0,Over 60,0,0,0
307963,69640.23121584846,3,67,67,Over 60,0,0,0
308142,727818.9578197695,2,105,0,Over 60,0,0,0
309461,10472.21522042834,2,143,143,Under 60,143,143,143
309729,1256.6658264514006,1,170,170,Under 60,170,170,170
310544,104722.15220428338,4,124,0,Over 60,0,0,0
