Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",401,40,0,12,0,12,0,12,401,40,34,26,367,45
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",1007,80,168,52,56,33,112,45,839,81,70,39,769,89
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",342,44,19,21,10,16,9,14,323,48,69,33,254,53
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",607,102,20,30,0,12,20,30,587,97,38,35,549,100
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",617,104,0,12,0,12,0,12,617,104,116,67,501,117
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",435,81,0,12,0,12,0,12,435,81,47,43,388,88
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",566,117,15,23,0,12,15,23,551,119,63,53,488,125
1500000US530330041005,530330041005,"Block Group 5, Census Tract 41, King County, Washington",394,86,29,34,0,12,29,34,365,84,34,28,331,86
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",300,74,0,12,0,12,0,12,300,74,130,82,170,69
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",739,115,0,12,0,12,0,12,739,115,32,37,707,120
