Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330308021,530330308021,"Block Group 1, Census Tract 308.02, King County, Washington",495,98,222,74,273,85
1500000US530330308022,530330308022,"Block Group 2, Census Tract 308.02, King County, Washington",520,87,363,94,157,63
1500000US530330308023,530330308023,"Block Group 3, Census Tract 308.02, King County, Washington",415,81,211,65,204,73
1500000US530330309011,530330309011,"Block Group 1, Census Tract 309.01, King County, Washington",540,80,440,76,100,49
1500000US530330309012,530330309012,"Block Group 2, Census Tract 309.01, King County, Washington",539,82,411,84,128,64
1500000US530330309021,530330309021,"Block Group 1, Census Tract 309.02, King County, Washington",832,130,433,109,399,94
1500000US530330309022,530330309022,"Block Group 2, Census Tract 309.02, King County, Washington",438,86,316,76,122,62
1500000US530330309023,530330309023,"Block Group 3, Census Tract 309.02, King County, Washington",677,122,180,60,497,110
1500000US530330310001,530330310001,"Block Group 1, Census Tract 310, King County, Washington",711,74,711,74,0,12
1500000US530330310002,530330310002,"Block Group 2, Census Tract 310, King County, Washington",553,87,392,86,161,59
1500000US530330311001,530330311001,"Block Group 1, Census Tract 311, King County, Washington",409,123,175,59,234,113
1500000US530330311002,530330311002,"Block Group 2, Census Tract 311, King County, Washington",591,95,563,94,28,27
1500000US530330311003,530330311003,"Block Group 3, Census Tract 311, King County, Washington",682,98,411,77,271,64
1500000US530330311004,530330311004,"Block Group 4, Census Tract 311, King County, Washington",558,129,112,27,446,129
1500000US530330311005,530330311005,"Block Group 5, Census Tract 311, King County, Washington",456,130,253,94,203,104
1500000US530330312021,530330312021,"Block Group 1, Census Tract 312.02, King County, Washington",500,137,398,111,102,110
1500000US530330312022,530330312022,"Block Group 2, Census Tract 312.02, King County, Washington",258,81,162,65,96,81
1500000US530330312023,530330312023,"Block Group 3, Census Tract 312.02, King County, Washington",451,95,451,95,0,12
1500000US530330312024,530330312024,"Block Group 4, Census Tract 312.02, King County, Washington",501,91,447,100,54,54
1500000US530330312025,530330312025,"Block Group 5, Census Tract 312.02, King County, Washington",595,116,344,92,251,107
1500000US530330312041,530330312041,"Block Group 1, Census Tract 312.04, King County, Washington",459,139,355,123,104,60
1500000US530330312042,530330312042,"Block Group 2, Census Tract 312.04, King County, Washington",502,119,486,122,16,25
1500000US530330312043,530330312043,"Block Group 3, Census Tract 312.04, King County, Washington",472,105,357,78,115,91
1500000US530330312044,530330312044,"Block Group 4, Census Tract 312.04, King County, Washington",324,98,268,89,56,54
1500000US530330312045,530330312045,"Block Group 5, Census Tract 312.04, King County, Washington",540,128,486,128,54,51
1500000US530330312051,530330312051,"Block Group 1, Census Tract 312.05, King County, Washington",888,153,537,111,351,135
1500000US530330312052,530330312052,"Block Group 2, Census Tract 312.05, King County, Washington",885,154,589,111,296,123
1500000US530330312053,530330312053,"Block Group 3, Census Tract 312.05, King County, Washington",569,127,464,118,105,87
1500000US530330312061,530330312061,"Block Group 1, Census Tract 312.06, King County, Washington",482,96,189,53,293,95
1500000US530330312062,530330312062,"Block Group 2, Census Tract 312.06, King County, Washington",636,96,458,89,178,47
1500000US530330312063,530330312063,"Block Group 3, Census Tract 312.06, King County, Washington",661,105,384,93,277,98
1500000US530330313011,530330313011,"Block Group 1, Census Tract 313.01, King County, Washington",527,71,448,76,79,52
1500000US530330313012,530330313012,"Block Group 2, Census Tract 313.01, King County, Washington",500,74,435,69,65,51
1500000US530330313021,530330313021,"Block Group 1, Census Tract 313.02, King County, Washington",341,61,301,53,40,34
1500000US530330313022,530330313022,"Block Group 2, Census Tract 313.02, King County, Washington",384,69,280,57,104,57
1500000US530330313023,530330313023,"Block Group 3, Census Tract 313.02, King County, Washington",448,52,385,53,63,40
1500000US530330313024,530330313024,"Block Group 4, Census Tract 313.02, King County, Washington",437,78,142,46,295,78
1500000US530330314001,530330314001,"Block Group 1, Census Tract 314, King County, Washington",305,107,86,44,219,107
1500000US530330314002,530330314002,"Block Group 2, Census Tract 314, King County, Washington",615,105,311,81,304,111
1500000US530330314003,530330314003,"Block Group 3, Census Tract 314, King County, Washington",593,116,448,101,145,75
1500000US530330314004,530330314004,"Block Group 4, Census Tract 314, King County, Washington",365,97,267,87,98,78
1500000US530330314005,530330314005,"Block Group 5, Census Tract 314, King County, Washington",398,91,213,60,185,110
1500000US530330315011,530330315011,"Block Group 1, Census Tract 315.01, King County, Washington",455,89,383,91,72,40
1500000US530330315012,530330315012,"Block Group 2, Census Tract 315.01, King County, Washington",601,91,465,83,136,64
1500000US530330315013,530330315013,"Block Group 3, Census Tract 315.01, King County, Washington",503,87,377,74,126,70
1500000US530330315021,530330315021,"Block Group 1, Census Tract 315.02, King County, Washington",553,94,506,97,47,42
1500000US530330315022,530330315022,"Block Group 2, Census Tract 315.02, King County, Washington",526,84,470,80,56,55
1500000US530330315023,530330315023,"Block Group 3, Census Tract 315.02, King County, Washington",685,81,445,82,240,66
1500000US530330316011,530330316011,"Block Group 1, Census Tract 316.01, King County, Washington",754,103,733,104,21,28
1500000US530330316012,530330316012,"Block Group 2, Census Tract 316.01, King County, Washington",720,94,675,102,45,31
1500000US530330316013,530330316013,"Block Group 3, Census Tract 316.01, King County, Washington",509,82,424,70,85,73
1500000US530330316031,530330316031,"Block Group 1, Census Tract 316.03, King County, Washington",600,96,489,92,111,90
1500000US530330316032,530330316032,"Block Group 2, Census Tract 316.03, King County, Washington",397,81,348,78,49,50
1500000US530330316033,530330316033,"Block Group 3, Census Tract 316.03, King County, Washington",499,101,444,102,55,36
1500000US530330316034,530330316034,"Block Group 4, Census Tract 316.03, King County, Washington",564,92,445,83,119,83
